City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
79,Nichinan,JP,31.6,131.3667,53.87,41,28,3.31,scattered clouds
80,Gigmoto,PH,13.7796,124.39,77.95,89,100,9.44,moderate rain
81,Shingu,JP,33.7333,135.9833,49.19,34,36,11.88,scattered clouds
82,Sangar,RU,63.9242,127.4739,-19.05,94,99,4.34,overcast clouds
83,Nouadhibou,MR,20.931,-17.0347,66.18,48,18,6.91,few clouds
84,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,80,97,11.61,overcast clouds
85,Dongsheng,CN,39.8161,109.9776,16.23,40,0,13.71,clear sky
86,Xinan,CN,26.72,119.8556,48.63,83,100,3.09,overcast clouds
87,Voi,KE,-3.3945,38.563,74.01,79,98,4.74,overcast clouds
88,Aklavik,CA,68.2191,-135.0107,-21.17,98,18,8.86,few clouds
89,Dvinskoy,RU,62.1535,45.1175,-10.68,100,99,0.78,overcast clouds
90,Severo-Kurilsk,RU,50.6789,156.125,30.74,87,100,9.01,light snow
91,Lorengau,PG,-2.0226,147.2712,84.27,61,100,9.22,overcast clouds
92,Taoudenni,ML,22.6783,-3.9836,60.03,21,23,9.19,few clouds
93,Georgetown,MY,5.4112,100.3354,89.55,70,20,3.0,few clouds
94,Kajaani,FI,64.2273,27.7285,-2.15,84,100,3.44,overcast clouds
95,Vanimo,PG,-2.6741,141.3028,85.26,64,54,5.88,broken clouds
96,Victoria,HK,22.2855,114.1577,64.18,72,64,3.0,broken clouds
97,Aquin,HT,18.2833,-73.4,74.39,81,0,3.38,clear sky
98,Itoman,JP,26.1247,127.6694,64.42,77,75,23.02,broken clouds
99,Marsh Harbour,BS,26.5412,-77.0636,73.89,59,38,16.87,scattered clouds
100,Meulaboh,ID,4.1363,96.1285,84.69,64,84,4.79,broken clouds
101,Buala,SB,-8.145,159.5921,78.96,87,100,5.91,light rain
102,Khasan,RU,42.4308,130.6434,20.34,43,12,20.96,few clouds
103,Ilulissat,GL,69.2167,-51.1,19.42,79,100,13.8,light snow
104,Dzilam Gonzalez,MX,21.2833,-88.9333,72.81,89,0,7.11,clear sky
105,Nanortalik,GL,60.1432,-45.2371,26.01,93,100,18.07,snow
106,Oussouye,SN,12.485,-16.5469,69.3,68,0,5.23,clear sky
107,Gosainganj,IN,26.5833,82.3833,63.95,72,16,16.08,few clouds
108,Cam Ranh,VN,11.9214,109.1591,78.76,69,40,17.27,scattered clouds
109,Two Rivers,US,44.1539,-87.5693,12.69,70,100,3.0,overcast clouds
110,Sitka,US,57.0531,-135.33,46.29,76,100,23.02,moderate rain
111,Sobolevo,RU,54.4299,31.8996,1.71,100,95,5.48,overcast clouds
112,Shaunavon,CA,49.6501,-108.4181,-2.42,100,100,3.65,overcast clouds
113,Tombouctou,ML,20.0,-3.0,59.47,14,0,10.87,clear sky
114,Kutum,SD,14.2,24.6667,53.94,21,7,15.14,clear sky
115,Fallon,US,39.4735,-118.7774,30.92,53,0,1.59,clear sky
116,Kahului,US,20.8947,-156.47,75.22,70,0,12.66,clear sky
117,Zhanakorgan,KZ,43.9098,67.2495,33.84,64,13,4.65,few clouds
118,Inuvik,CA,68.3499,-133.7218,-17.39,72,20,2.3,few clouds
119,Beyneu,KZ,45.3167,55.2,37.74,70,100,22.08,overcast clouds
120,Muros,ES,42.7762,-9.0603,53.24,95,100,5.99,overcast clouds
121,Hambantota,LK,6.1241,81.1185,82.74,83,20,6.91,few clouds
122,Berbera,SO,10.4396,45.0143,74.61,62,2,2.91,clear sky
123,Boddam,GB,57.4667,-1.7833,37.38,71,24,19.19,few clouds
124,Eyl,SO,7.9803,49.8164,74.48,62,1,14.45,clear sky
125,Riyadh,SA,24.6877,46.7219,57.25,41,0,5.75,clear sky
126,Valle De Allende,MX,26.9333,-105.4,40.37,57,0,8.08,clear sky
127,Mogocha,RU,53.7333,119.7667,6.42,56,77,6.8,broken clouds
128,Provideniya,RU,64.3833,-173.3,1.44,60,5,21.68,clear sky
129,Cayenne,GF,4.9333,-52.3333,79.09,89,100,1.99,overcast clouds
130,Raska,RS,43.2872,20.6153,24.31,93,100,2.46,overcast clouds
131,Takoradi,GH,4.8845,-1.7554,78.13,84,2,5.28,clear sky
132,Durant,US,33.994,-96.3708,23.16,82,100,10.36,overcast clouds
133,Codrington,AU,-38.2667,141.9667,65.48,66,74,16.78,broken clouds
134,Urumqi,CN,43.801,87.6005,0.55,85,75,2.24,fog
135,Dingle,PH,10.9995,122.6711,80.46,79,88,14.92,overcast clouds
136,Bay Roberts,CA,47.5999,-53.2648,40.33,90,100,7.0,light rain
137,Touros,BR,-5.1989,-35.4608,79.7,76,49,12.71,scattered clouds
138,Sorland,NO,67.667,12.6934,24.55,95,100,31.5,light snow
139,Brae,GB,60.3964,-1.353,37.31,59,87,34.02,overcast clouds
140,Praia,CV,14.9215,-23.5087,70.34,78,0,9.22,clear sky
141,Manokwari,ID,-0.8667,134.0833,81.7,75,91,4.85,overcast clouds
142,Carutapera,BR,-1.195,-46.02,76.33,89,100,6.29,overcast clouds
143,Altay,CN,47.8667,88.1167,13.3,69,5,1.48,clear sky
144,Puerto Del Rosario,ES,28.5004,-13.8627,67.68,52,99,5.75,overcast clouds
145,Hithadhoo,MV,-0.6,73.0833,81.88,74,100,10.87,overcast clouds
146,Siuna,NI,13.7332,-84.7773,67.46,95,3,2.33,clear sky
147,Marsa Matruh,EG,31.3525,27.2453,56.21,63,85,30.2,overcast clouds
148,Havre-Saint-Pierre,CA,50.2334,-63.5986,9.19,66,100,13.8,overcast clouds
149,Gusau,NG,12.1628,6.6614,59.16,19,0,16.24,clear sky
150,Lerwick,GB,60.1545,-1.1494,37.4,61,82,34.94,broken clouds
151,Talnakh,RU,69.4865,88.3972,-12.69,98,77,7.36,broken clouds
152,Karasjok,NO,69.4719,25.5112,6.91,100,97,5.12,overcast clouds
153,Kurilsk,RU,45.2333,147.8833,22.14,80,100,18.37,light snow
154,Humberto De Campos,BR,-2.5983,-43.4611,75.29,93,67,5.48,broken clouds
155,Petropavlovka,RU,50.6114,105.3196,10.33,82,99,1.83,overcast clouds
156,Kutahya,TR,39.4242,29.9833,30.09,89,100,11.07,overcast clouds
157,Conakry,GN,9.538,-13.6773,78.87,83,1,6.91,mist
158,Tabou,CI,4.423,-7.3528,77.23,85,14,1.45,few clouds
159,Zhigansk,RU,66.7697,123.3711,-24.47,96,89,3.47,overcast clouds
160,Sabang,ID,5.8933,95.3214,82.74,73,78,16.33,broken clouds
161,Naze,JP,28.3667,129.4833,54.52,69,99,17.07,overcast clouds
162,Constitucion,CL,-35.3333,-72.4167,57.9,94,54,5.55,broken clouds
163,Moussoro,TD,13.6408,16.4901,57.56,24,9,14.41,clear sky
164,Hamilton,US,39.1834,-84.5333,24.4,91,100,4.0,mist
165,Torbay,CA,47.6666,-52.7314,39.58,89,100,25.32,overcast clouds
166,Bilma,NE,18.6853,12.9164,49.24,35,0,10.67,clear sky
167,Lompoc,US,34.6391,-120.4579,52.12,85,40,4.61,mist
168,Doha,QA,25.2867,51.5333,64.38,87,3,3.44,clear sky
169,Port Hardy,CA,50.6996,-127.4199,47.75,93,75,17.27,broken clouds
170,Flin Flon,CA,54.7682,-101.865,-19.16,96,22,6.04,few clouds
171,Butaritari,KI,3.0707,172.7902,81.84,77,17,15.57,light rain
172,Itarema,BR,-2.9248,-39.9167,77.47,86,83,9.48,broken clouds
173,Hay River,CA,60.8156,-115.7999,-23.82,76,40,2.3,scattered clouds
174,Nioro,GM,13.35,-15.75,72.12,19,0,4.9,clear sky
175,Chaman,PK,30.9236,66.4512,44.42,31,0,2.98,clear sky
176,Ngama,TD,11.7833,17.1667,60.62,18,4,10.45,clear sky
177,Roald,NO,62.5833,6.1333,39.25,87,75,11.5,light rain
178,Half Moon Bay,US,37.4636,-122.4286,54.97,77,0,0.0,clear sky
179,Hasaki,JP,35.7333,140.8333,48.29,60,100,6.08,moderate rain
180,Marawi,PH,7.9986,124.2928,72.64,81,100,3.04,overcast clouds
181,Sudak,UA,44.85,34.9667,33.6,78,100,13.69,overcast clouds
182,Bluefields,NI,12.0137,-83.7635,75.31,91,6,6.42,clear sky
183,Kalat,PK,29.0225,66.5916,43.66,11,0,4.74,clear sky
184,Acajutla,SV,13.5928,-89.8275,74.8,79,2,7.87,clear sky
185,Florence,IT,43.7667,11.25,52.54,90,75,1.14,broken clouds
186,Cockburn Town,TC,21.4612,-71.1419,75.61,72,3,20.47,clear sky
187,Munak,IN,29.5187,76.8486,52.75,93,100,7.34,overcast clouds
188,Ayan,RU,56.45,138.1667,-0.62,66,97,15.05,overcast clouds
189,Ixtapa,MX,20.7,-105.2,69.22,88,20,0.0,few clouds
190,Vanavara,RU,60.34,102.2797,13.77,92,100,9.08,light snow
191,Saint-Pierre,RE,-21.3393,55.4781,80.24,84,100,20.6,light rain
192,Zhezkazgan,KZ,47.8043,67.7144,3.18,78,0,11.18,clear sky
193,Tarko-Sale,RU,64.9225,77.785,14.63,96,100,8.61,overcast clouds
194,Reftinskiy,RU,57.0901,61.6769,27.0,97,100,6.04,light snow
195,Vestmannaeyjar,IS,63.4427,-20.2734,27.55,74,39,30.78,scattered clouds
196,Poso,ID,-1.3959,120.7524,86.99,58,92,4.94,overcast clouds
197,Buraydah,SA,26.326,43.975,63.05,64,4,8.86,clear sky
198,Wladyslawowo,PL,54.7909,18.4009,41.94,97,100,9.48,overcast clouds
199,Weiser,US,44.251,-116.9693,28.6,86,32,1.01,scattered clouds
200,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,72.39,99,71,1.25,moderate rain
201,Khandyga,RU,62.6667,135.6,-23.46,92,84,1.43,broken clouds
202,Nogliki,RU,51.8333,143.1667,7.29,93,100,19.19,light snow
203,Thompson,CA,55.7435,-97.8558,-20.04,76,0,8.05,clear sky
204,Salisbury,GB,51.0693,-1.7957,50.65,88,75,18.41,broken clouds
205,Paita,PE,-5.0892,-81.1144,70.84,84,60,7.99,broken clouds
206,Methoni,GR,36.8197,21.7049,45.21,59,1,6.06,clear sky
207,Gandajika,CD,-6.75,23.95,64.53,96,100,1.05,overcast clouds
208,Leningradskiy,RU,69.3833,178.4167,-10.26,82,3,7.45,clear sky
209,Kattivakkam,IN,13.2167,80.3167,84.29,73,20,7.76,few clouds
210,San Jeronimo,PE,-11.9472,-75.2829,50.92,80,100,3.2,overcast clouds
211,Klaeng,TH,12.7797,101.6483,94.15,50,13,1.63,few clouds
212,Mbini,GQ,1.574,9.6134,76.84,81,100,5.28,overcast clouds
213,Chabahar,IR,25.2919,60.643,70.41,34,0,8.23,clear sky
214,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,30.79,47,75,11.18,broken clouds
215,Lasa,IT,46.6166,10.7002,38.66,64,24,2.95,few clouds
216,Olafsvik,IS,64.8945,-23.7142,27.59,74,94,25.26,overcast clouds
217,Clyde River,CA,70.4692,-68.5914,-5.57,77,100,33.38,heavy snow
218,Boa Vista,BR,2.8197,-60.6733,82.38,61,0,9.22,clear sky
219,Akyab,MM,20.15,92.9,75.96,43,0,6.44,clear sky
220,Bac Lieu,VN,9.285,105.7244,86.79,57,14,24.52,few clouds
221,Celica,EC,-4.1167,-79.95,58.39,80,90,2.15,overcast clouds
222,Zyryanka,RU,65.75,150.85,-28.03,100,94,4.29,overcast clouds
223,Camacha,PT,33.0833,-16.3333,63.54,94,40,5.75,scattered clouds
224,Anadyr,RU,64.75,177.4833,14.5,57,7,29.08,clear sky
225,Kinkala,CG,-4.3614,14.7644,71.91,97,91,3.24,overcast clouds
226,Altar,MX,30.7,-111.8167,48.47,15,0,8.41,clear sky
227,Payson,US,40.0444,-111.7321,22.75,71,40,10.36,scattered clouds
228,Aswan,EG,24.0934,32.907,52.92,40,0,9.73,clear sky
229,Inzhavino,RU,52.3185,42.4937,26.17,94,100,11.25,light snow
230,Peace River,CA,56.2501,-117.286,-5.49,84,100,8.05,light snow
231,Guerrero Negro,MX,27.9769,-114.0611,56.71,31,0,14.38,clear sky
232,Sorong,ID,-0.8833,131.25,84.54,70,43,10.18,scattered clouds
233,Oktyabrskiy,RU,54.4815,53.471,30.33,93,100,12.21,light snow
234,Jumla,NP,29.2747,82.1838,37.38,92,97,6.4,overcast clouds
235,Mehamn,NO,71.0357,27.8492,23.18,85,0,5.75,clear sky
236,Rusera,IN,25.75,86.0333,64.98,73,41,26.42,scattered clouds
237,Praia Da Vitoria,PT,38.7333,-27.0667,57.45,82,20,12.35,few clouds
238,Pimenteiras,BR,-6.2453,-41.4192,73.78,60,46,1.83,scattered clouds
239,Wucheng,CN,29.6008,118.175,41.72,84,100,2.46,overcast clouds
240,Padilla,CO,3.2204,-76.3139,71.17,91,100,2.08,overcast clouds
241,Erzin,TR,36.9559,36.2,45.32,82,100,7.23,overcast clouds
242,Moose Factory,CA,51.2585,-80.6094,-16.6,69,0,9.22,clear sky
243,Lively,CA,46.4334,-81.1498,-1.39,73,60,7.0,broken clouds
244,Tartus,SY,34.889,35.8866,47.5,75,100,20.31,overcast clouds
245,Ocara,BR,-4.4908,-38.5967,72.79,94,51,3.06,broken clouds
246,Cabatuan,PH,10.8794,122.486,81.14,76,76,15.66,broken clouds
247,Zhuji,CN,29.7188,120.2423,46.89,79,100,4.32,overcast clouds
248,Iqaluit,CA,63.7506,-68.5145,-7.87,59,75,9.22,broken clouds
249,Newport,GB,51.5877,-2.9984,51.46,85,100,16.42,light rain
250,Kazachinskoye,RU,57.6953,93.2761,17.35,91,100,7.65,overcast clouds
251,Kokopo,PG,-4.352,152.2633,84.29,69,82,15.03,broken clouds
252,Rosetta,EG,31.4044,30.4164,46.22,79,47,6.85,scattered clouds
253,Saint-Louis,SN,16.3333,-15.0,70.52,10,0,10.74,clear sky
254,Saint Anthony,US,45.0205,-93.218,1.02,67,0,4.61,clear sky
255,Urucara,BR,-2.5364,-57.76,72.9,93,50,1.61,scattered clouds
256,Duyun,CN,26.2667,107.5167,41.09,70,100,4.7,overcast clouds
257,Lorut,AM,40.9372,44.7714,24.98,82,99,8.01,overcast clouds
258,Mitu,CO,1.1983,-70.1733,70.74,99,75,1.21,broken clouds
259,Talaya,RU,61.3833,152.75,-19.16,97,39,5.26,scattered clouds
260,Bam,IR,29.106,58.357,56.93,18,0,0.96,clear sky
261,Seminole,US,28.7086,-81.2081,69.89,91,0,1.01,clear sky
262,Acapulco,MX,16.8634,-99.8901,73.89,72,0,4.72,clear sky
263,Muyezerskiy,RU,63.9333,31.65,-7.31,100,86,2.57,overcast clouds
264,Nemuro,JP,43.3236,145.575,27.03,63,54,11.68,broken clouds
265,Bandarbeyla,SO,9.4942,50.8122,76.41,62,4,15.57,clear sky
266,Merauke,ID,-8.4667,140.3333,85.5,68,100,10.67,light rain
267,Along,IN,28.1667,94.7667,68.36,41,27,1.05,scattered clouds
268,Haukipudas,FI,65.1765,25.3523,0.14,90,89,9.69,overcast clouds
269,La Ronge,CA,55.1001,-105.2842,-14.55,70,0,6.91,clear sky
270,Szany,HU,47.4642,17.304,41.27,52,0,9.22,clear sky
271,Srednekolymsk,RU,67.45,153.6833,-32.57,100,33,1.81,scattered clouds
272,Havelock,US,34.8791,-76.9013,66.2,84,75,10.0,broken clouds
273,Pangnirtung,CA,66.1451,-65.7125,-15.27,99,100,1.61,overcast clouds
274,Kongoussi,BF,13.3258,-1.5347,64.0,16,3,9.37,clear sky
275,Anloga,GH,5.7947,0.8973,79.02,81,0,7.14,clear sky
276,Wajima,JP,37.4,136.9,36.28,80,75,2.3,broken clouds
277,Sai Buri,TH,6.7013,101.6168,83.97,66,63,12.39,broken clouds
278,Silver City,US,32.7701,-108.2803,24.67,86,19,4.09,few clouds
279,Garissa,KE,-0.4536,39.6401,78.48,72,51,5.95,broken clouds
280,North Platte,US,41.1239,-100.7654,10.29,67,0,5.75,clear sky
281,Abu Dhabi,AE,24.4667,54.3667,67.96,80,0,0.0,clear sky
282,Houma,US,29.5958,-90.7195,46.0,88,100,8.01,overcast clouds
283,Santa Rosalia,MX,27.3167,-112.2833,51.8,50,0,7.9,clear sky
284,Qaqortoq,GL,60.7167,-46.0333,25.3,93,100,13.18,snow
285,Berlevag,NO,70.8578,29.0864,14.0,81,92,13.18,overcast clouds
286,Honningsvag,NO,70.9821,25.9704,22.75,58,20,5.75,few clouds
287,Sirajganj,BD,24.45,89.7167,59.79,90,100,11.12,light rain
288,Serebryanyy Bor,RU,56.8,124.8,-6.68,95,100,11.65,overcast clouds
289,Dharchula,IN,29.85,80.5333,47.32,92,100,2.1,overcast clouds
290,Yar-Sale,RU,66.8333,70.8333,-1.16,98,97,4.76,overcast clouds
291,Sawakin,SD,19.1059,37.3321,75.54,64,100,20.85,overcast clouds
292,Iisalmi,FI,63.5592,27.1907,-0.38,100,93,3.87,overcast clouds
293,Northview,US,43.0456,-85.6006,13.8,71,75,3.0,broken clouds
294,Bardiyah,LY,31.7561,25.0865,53.53,62,46,28.21,scattered clouds
295,Namatanai,PG,-3.6667,152.4333,83.37,73,81,10.22,broken clouds
296,Jennings,US,38.7192,-90.2604,18.36,86,75,3.0,broken clouds
297,Chanika,TZ,-5.4167,38.0167,70.86,89,100,0.96,overcast clouds
